Job Result,Job Creation Time,Job Completion Times,Product Name,Cores,Storage (GB)
SUCCESS,11/5/2019 20:05,11/5/2019 20:17,Product 4,96,9600
FAILURE,11/5/2019 19:19,11/5/2019 20:01,Product 4,96,9600
SUCCESS,11/4/2019 21:59,11/4/2019 22:32,Product 1 ,48,2400
SUCCESS,11/4/2019 21:59,11/4/2019 22:32,Product 1 ,48,2400
SUCCESS,11/1/2019 0:27,11/1/2019 0:39,Product 2,16,2400
FAILURE,11/1/2019 0:24,11/1/2019 0:28,Product 2,16,2400
FAILURE,10/31/2019 23:03,10/31/2019 23:07,Product 2,16,2400
SUCCESS,10/31/2019 21:17,10/31/2019 22:29,Product 3,6,40
FAILURE,10/31/2019 20:28,10/31/2019 20:43,Product 3,6,40
FAILURE,10/31/2019 20:26,10/31/2019 20:34,Product 3,6,40
SUCCESS,10/31/2019 18:36,10/31/2019 19:55,Product 3,6,40
SUCCESS,10/31/2019 18:31,10/31/2019 19:45,Product 3,6,40
SUCCESS,10/31/2019 18:30,10/31/2019 19:42,Product 3,6,40
FAILURE,10/31/2019 17:59,10/31/2019 18:02,Product 3,6,40
FAILURE,10/31/2019 17:43,10/31/2019 17:48,Product 3,6,40
FAILURE,10/31/2019 7:37,10/31/2019 7:41,Product 3,6,40
SUCCESS,10/31/2019 2:13,10/31/2019 2:22,Product 2,16,1440
FAILURE,10/31/2019 2:07,10/31/2019 2:14,Product 2,16,1440
FAILURE,10/30/2019 23:18,10/30/2019 23:23,Product 2,16,1440
FAILURE,10/30/2019 17:33,10/30/2019 18:56,Product 3,6,40
FAILURE,10/30/2019 15:31,10/30/2019 15:36,Product 3,6,40
FAILURE,10/29/2019 22:55,10/29/2019 23:00,Product 3,6,40
FAILURE,10/29/2019 6:57,10/29/2019 7:02,Product 3,6,40
FAILURE,10/29/2019 5:37,10/29/2019 5:42,Product 3,6,40
FAILURE,10/29/2019 0:51,10/29/2019 0:57,Product 3,6,40
SUCCESS,10/29/2019 0:21,10/29/2019 0:27,Product 2,16,960
SUCCESS,10/28/2019 23:42,10/28/2019 23:50,Product 2,16,960
FAILURE,10/27/2019 21:29,10/27/2019 21:33,Product 3,6,40
FAILURE,10/27/2019 14:31,10/27/2019 14:36,Product 3,6,40
FAILURE,10/27/2019 12:01,10/27/2019 12:06,Product 3,6,40
FAILURE,10/27/2019 11:37,10/27/2019 11:41,Product 3,6,40
FAILURE,10/27/2019 1:51,10/27/2019 1:54,Product 3,6,40
FAILURE,10/26/2019 20:35,10/26/2019 20:39,Product 3,6,40
FAILURE,10/26/2019 1:43,10/26/2019 1:47,Product 3,6,40
FAILURE,10/26/2019 1:39,10/26/2019 1:44,Product 3,6,40
FAILURE,10/25/2019 19:44,10/25/2019 19:47,Product 3,14,1000
FAILURE,10/25/2019 18:25,10/25/2019 18:29,Product 3,6,40
FAILURE,10/25/2019 17:15,10/25/2019 17:19,Product 3,6,40
FAILURE,10/25/2019 16:23,10/25/2019 16:28,Product 3,6,40
FAILURE,10/25/2019 15:11,10/25/2019 16:38,Product 3,6,40
FAILURE,10/25/2019 12:27,10/25/2019 12:31,Product 3,6,40
FAILURE,10/25/2019 5:22,10/25/2019 5:26,Product 3,6,40
FAILURE,10/25/2019 4:21,10/25/2019 4:25,Product 3,6,40
FAILURE,10/25/2019 1:34,10/25/2019 1:37,Product 3,6,40
FAILURE,10/24/2019 19:44,10/24/2019 19:48,Product 3,6,40
FAILURE,10/24/2019 19:29,10/24/2019 19:33,Product 3,6,40
FAILURE,10/24/2019 17:26,10/24/2019 17:29,Product 3,6,40
