Job Result,Job Creation Time,Jopb Completion Time,Product Name,Cores,Storage,Customer ID
SUCCESS,11/5/2019 19:41,11/5/2019 19:59,Product 3,6,250,26324
SUCCESS,11/5/2019 18:57,11/5/2019 19:15,Product 3,6,40,78836
SUCCESS,11/5/2019 17:07,11/5/2019 17:27,Product 3,14,40,78836
SUCCESS,10/31/2019 23:34,10/31/2019 23:59,Product 3,28,4000,28199
SUCCESS,10/31/2019 20:35,10/31/2019 21:00,Product 3,28,4000,85990
SUCCESS,10/29/2019 17:58,10/29/2019 18:03,Product 3,14,250,26324
FAILURE,10/29/2019 17:26,10/29/2019 17:53,Product 3,14,250,26324
SUCCESS,10/29/2019 15:46,10/29/2019 16:22,Product 3,14,200,26324
SUCCESS,10/29/2019 15:18,10/29/2019 15:46,Product 2,48,960,50154
SUCCESS,10/28/2019 19:01,10/28/2019 19:25,Product 1,192,38400,22719
SUCCESS,10/28/2019 14:26,10/28/2019 14:44,Product 3,6,200,26324
FAILURE,10/28/2019 13:25,10/28/2019 13:26,Product 2,48,960,50154
SUCCESS,10/25/2019 16:51,10/25/2019 16:59,Product 3,14,350,30177
CANCELLED,10/25/2019 16:40,10/25/2019 16:49,Product 3,14,350,30177
FAILURE,10/25/2019 16:33,10/25/2019 16:35,Product 3,14,350,30177
FAILURE,10/25/2019 14:43,10/25/2019 15:24,Product 3,14,350,30177
SUCCESS,10/24/2019 16:11,10/24/2019 16:25,Product 3,14,200,26324
SUCCESS,10/22/2019 20:23,10/22/2019 20:31,Product 3,14,200,68206
FAILURE,10/22/2019 18:15,10/22/2019 18:35,Product 3,14,200,68206
SUCCESS,10/21/2019 18:41,10/21/2019 18:50,Product 3,6,200,26324
SUCCESS,10/21/2019 16:48,10/21/2019 17:13,Product 1,192,36000,22719
SUCCESS,10/21/2019 15:12,10/21/2019 15:17,Product 3,6,100,68206
FAILURE,10/21/2019 14:00,10/21/2019 14:23,Product 3,6,100,68206
SUCCESS,10/18/2019 9:38,10/18/2019 9:49,Product 3,6,400,91349
CANCELLED,10/16/2019 17:07,10/16/2019 17:13,Product 1,576,81600,22719
CANCELLED,10/16/2019 16:45,10/16/2019 17:06,Product 1,576,81600,22719
FAILURE,10/16/2019 16:00,10/16/2019 16:44,Product 1,576,81600,22719
SUCCESS,10/16/2019 8:30,10/16/2019 8:54,Product 2,32,960,50154
SUCCESS,10/15/2019 22:00,10/15/2019 22:29,Product 2,16,1920,76923
SUCCESS,10/15/2019 14:55,10/15/2019 15:01,Product 3,6,60,40007
SUCCESS,10/15/2019 12:36,10/15/2019 12:50,Product 3,6,150,26324
SUCCESS,10/15/2019 0:02,10/15/2019 0:29,Product 2,32,1920,76923
FAILURE,10/14/2019 20:51,10/14/2019 21:09,Product 3,6,60,40007
FAILURE,10/14/2019 11:31,10/14/2019 11:33,Product 3,6,60,40007
SUCCESS,10/14/2019 10:26,10/14/2019 10:35,Product 3,6,60,88643
SUCCESS,10/14/2019 9:40,10/14/2019 9:49,Product 3,6,60,31540
