Job Result,Job Creation Time,Job Completion Time,Product Name,Component Being updated,Customer ID
SUCCESS,11/5/2019 14:47,11/5/2019 15:13,Product 2,Component 1,17915
SUCCESS,10/30/2019 20:39,10/30/2019 21:03,Product 2,Component 1,17915
SUCCESS,10/25/2019 17:05,10/25/2019 17:10,Product 1,Component 5,98091
SUCCESS,10/23/2019 20:50,10/23/2019 20:55,Product 2,Component 5,49383
SUCCESS,10/22/2019 21:40,10/22/2019 21:48,Product 3,Component 5,99988
SUCCESS,10/22/2019 21:40,10/22/2019 21:47,Product 3,Component 5,96169
SUCCESS,10/19/2019 17:17,10/19/2019 17:26,Product 1,Component 5,21083
FAILURE,10/19/2019 17:10,10/19/2019 17:16,Product 1,Component 5,21083
SUCCESS,10/19/2019 16:59,10/19/2019 17:08,Product 1,Component 5,21083
SUCCESS,10/18/2019 21:15,10/18/2019 21:20,Product 1,Component 1,21083
SUCCESS,10/18/2019 21:10,10/18/2019 21:15,Product 1,Component 1,42233
CANCELLED,10/18/2019 20:42,10/18/2019 20:44,Product 1,Component 1,42233
CANCELLED,10/18/2019 20:18,10/18/2019 20:26,Product 1,Component 1,42233
FAILURE,10/18/2019 19:41,10/18/2019 20:23,Product 1,Component 1,21083
FAILURE,10/18/2019 19:25,10/18/2019 19:36,Product 1,Component 1,21083
FAILURE,10/18/2019 19:25,10/18/2019 19:56,Product 1,Component 1,42233
CANCELLED,10/18/2019 18:49,10/18/2019 19:20,Product 1,Component 1,21083
CANCELLED,10/18/2019 18:39,10/18/2019 19:20,Product 1,Component 1,42233
CANCELLED,10/18/2019 18:04,10/18/2019 18:39,Product 1,Component 1,42233
SUCCESS,10/18/2019 1:30,10/18/2019 1:39,Product 1,Component 5,88684
FAILURE,10/18/2019 1:21,10/18/2019 1:25,Product 1,Component 5,88684
SUCCESS,10/17/2019 0:25,10/17/2019 0:42,Product 1,"Component 1,Component 2,Component 3,Component 4,Component 5",22719
SUCCESS,10/16/2019 23:32,10/16/2019 23:42,Product 1,"Component 1,Component 2,Component 3,Component 4,Component 5",99376
FAILURE,10/16/2019 22:42,10/17/2019 0:16,Product 1,"Component 1,Component 2,Component 3,Component 4,Component 5",22719
FAILURE,10/16/2019 22:36,10/16/2019 23:22,Product 1,"Component 1,Component 2,Component 3,Component 4,Component 5",99376
FAILURE,10/16/2019 22:14,10/16/2019 22:45,Product 1,"Component 1,Component 2,Component 3,Component 4,Component 5",22719
SUCCESS,10/11/2019 23:59,10/12/2019 0:03,Product 1,Component 5,84180
SUCCESS,10/11/2019 23:44,10/11/2019 23:49,Product 1,Component 5,83264
FAILURE,10/11/2019 23:38,10/11/2019 23:41,Product 1,Component 5,83264
SUCCESS,10/11/2019 23:08,10/11/2019 23:16,Product 1,"Component 1,Component 2,Component 3,Component 4",83264
FAILURE,10/11/2019 23:02,10/11/2019 23:05,Product 1,"Component 1,Component 2,Component 3,Component 4",83264
SUCCESS,10/11/2019 22:53,10/11/2019 23:01,Product 1,"Component 1,Component 2,Component 3,Component 4",84180
FAILURE,10/11/2019 22:11,10/11/2019 22:38,Product 1,"Component 1,Component 2,Component 3,Component 4",84180
FAILURE,10/11/2019 22:11,10/11/2019 22:38,Product 1,"Component 1,Component 2,Component 3,Component 4",83264
SUCCESS,10/8/2019 22:16,10/8/2019 22:56,Product 1,"Component 1,Component 2",21083
FAILURE,10/8/2019 22:13,10/8/2019 22:15,Product 1,"Component 1,Component 2",21083
FAILURE,10/8/2019 22:08,10/8/2019 22:11,Product 1,"Component 1,Component 2",21083
FAILURE,10/8/2019 22:02,10/8/2019 22:06,Product 1,"Component 1,Component 2",21083
SUCCESS,10/5/2019 0:33,10/5/2019 0:37,Product 1,"Component 1,Component 2",99811
SUCCESS,10/5/2019 0:27,10/5/2019 0:31,Product 1,"Component 1,Component 2",34494
CANCELLED,10/5/2019 0:01,10/5/2019 0:33,Product 1,"Component 1,Component 2",99811
CANCELLED,10/5/2019 0:01,10/5/2019 0:27,Product 1,"Component 1,Component 2",34494
SUCCESS,10/4/2019 21:09,10/4/2019 21:41,Product 1,"Component 1,console",88684
SUCCESS,10/4/2019 21:03,10/4/2019 21:07,Product 1,"dashed,console",88684
SUCCESS,10/3/2019 0:52,10/3/2019 0:56,Product 1,Component 5,73613
SUCCESS,10/3/2019 0:52,10/3/2019 0:57,Product 1,Component 5,25971
SUCCESS,10/3/2019 0:52,10/3/2019 0:56,Product 1,Component 5,99811
SUCCESS,10/3/2019 0:52,10/3/2019 0:56,Product 1,Component 5,42233
SUCCESS,10/3/2019 0:44,10/3/2019 0:49,Product 1,Component 5,42233
SUCCESS,10/3/2019 0:42,10/3/2019 0:48,Product 1,Component 5,77983
CANCELLED,10/3/2019 0:42,10/3/2019 0:52,Product 1,Component 5,73613
SUCCESS,10/3/2019 0:41,10/3/2019 0:49,Product 1,Component 5,24349
SUCCESS,10/3/2019 0:41,10/3/2019 0:48,Product 1,Component 5,42233
SUCCESS,10/3/2019 0:41,10/3/2019 0:50,Product 1,Component 5,21083
SUCCESS,10/3/2019 0:41,10/3/2019 0:50,Product 1,Component 5,85943
SUCCESS,10/3/2019 0:41,10/3/2019 0:49,Product 1,Component 5,85943
SUCCESS,10/3/2019 0:41,10/3/2019 0:48,Product 1,Component 5,77983
SUCCESS,10/3/2019 0:41,10/3/2019 0:48,Product 1,Component 5,99549
CANCELLED,10/3/2019 0:41,10/3/2019 0:51,Product 1,Component 5,25971
SUCCESS,10/3/2019 0:41,10/3/2019 0:45,Product 1,Component 5,75841
SUCCESS,10/3/2019 0:41,10/3/2019 0:49,Product 1,Component 5,37622
SUCCESS,10/3/2019 0:41,10/3/2019 0:48,Product 1,Component 5,21083
SUCCESS,10/3/2019 0:41,10/3/2019 0:48,Product 1,Component 5,19441
SUCCESS,10/3/2019 0:41,10/3/2019 0:47,Product 1,Component 5,77983
SUCCESS,10/3/2019 0:40,10/3/2019 0:47,Product 1,Component 5,99811
SUCCESS,10/3/2019 0:40,10/3/2019 0:47,Product 1,Component 5,40707
SUCCESS,10/3/2019 0:40,10/3/2019 0:47,Product 1,Component 5,85074
SUCCESS,10/3/2019 0:40,10/3/2019 0:47,Product 1,Component 5,21083
SUCCESS,10/3/2019 0:40,10/3/2019 0:47,Product 1,Component 5,99376
SUCCESS,10/3/2019 0:40,10/3/2019 0:47,Product 1,Component 5,77983
SUCCESS,10/3/2019 0:40,10/3/2019 0:46,Product 1,Component 5,88684
SUCCESS,10/3/2019 0:40,10/3/2019 0:44,Product 1,Component 5,85074
SUCCESS,10/3/2019 0:40,10/3/2019 0:47,Product 1,Component 5,39170
SUCCESS,10/3/2019 0:40,10/3/2019 0:47,Product 1,Component 5,24349
CANCELLED,10/3/2019 0:40,10/3/2019 0:51,Product 1,Component 5,99811
SUCCESS,10/3/2019 0:40,10/3/2019 0:44,Product 1,Component 5,21083
CANCELLED,10/3/2019 0:39,10/3/2019 0:51,Product 1,Component 5,42233
SUCCESS,10/3/2019 0:39,10/3/2019 0:44,Product 1,Component 5,99694
SUCCESS,10/3/2019 0:39,10/3/2019 0:44,Product 1,Component 5,34494
SUCCESS,10/3/2019 0:38,10/3/2019 0:43,Product 1,Component 5,99811
SUCCESS,10/3/2019 0:36,10/3/2019 0:43,Product 1,Component 5,21083
SUCCESS,10/3/2019 0:31,10/3/2019 0:38,Product 1,Component 5,22719
SUCCESS,10/3/2019 0:29,10/3/2019 0:40,Product 1,Component 5,25971
SUCCESS,10/3/2019 0:28,10/3/2019 0:38,Product 1,Component 5,85074
SUCCESS,10/3/2019 0:27,10/3/2019 0:37,Product 1,Component 5,21083
CANCELLED,10/3/2019 0:26,10/3/2019 0:38,Product 1,Component 5,99811
SUCCESS,10/3/2019 0:26,10/3/2019 0:33,Product 1,Component 5,77983
SUCCESS,10/3/2019 0:26,10/3/2019 0:32,Product 1,Component 5,24349
CANCELLED,10/3/2019 0:26,10/3/2019 0:27,Product 1,Component 5,83264
SUCCESS,10/3/2019 0:25,10/3/2019 0:39,Product 1,Component 5,99694
SUCCESS,10/3/2019 0:25,10/3/2019 0:37,Product 1,Component 5,75841
SUCCESS,10/3/2019 0:25,10/3/2019 0:34,Product 1,Component 5,21083
SUCCESS,10/3/2019 0:25,10/3/2019 0:38,Product 1,Component 5,22719
SUCCESS,10/3/2019 0:25,10/3/2019 0:36,Product 1,Component 5,34494
SUCCESS,10/3/2019 0:25,10/3/2019 0:38,Product 1,Component 5,21083
SUCCESS,10/3/2019 0:25,10/3/2019 0:38,Product 1,Component 5,25971
SUCCESS,10/3/2019 0:25,10/3/2019 0:39,Product 1,Component 5,85074
